Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
amb_alarm_airraid,raw\sound\zmb\level\zm_transit\alarms\airraid.SN55.pc.snd.flac,,streamed,bus_fx,grp_ambience,snp_special,,60,0,75,75,1500,3500,5000,allon,default,allon,default,10,10,priority,priority,0,0,10,50,0.25,1,3d,default,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_alarm_interior,raw\sound\zmb\level\zm_transit\alarms\alarm2.LL55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,71,71,100,375,500,allon,default,allon,default,10,10,priority,priority,0,0,10,50,0.25,1,3d,default,looping,,1,0,0,0,0,0.2,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_alarm_interior_industrial,raw\sound\zmb\level\zm_transit\alarms\alarm1.LL55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,80,80,125,625,750,allon,default,allon,default,10,10,priority,priority,0,0,10,50,0.25,1,3d,default,looping,,1,0,0,0,0,0.2,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_baby_cry,raw\sound\zmb\level\zm_transit\amb\baby\amb_baby_cry_00.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,83,83,75,550,550,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_baby_cry,raw\sound\zmb\level\zm_transit\amb\baby\amb_baby_cry_01.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,83,83,75,550,550,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_baby_cry,raw\sound\zmb\level\zm_transit\amb\baby\amb_baby_cry_02.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,83,83,75,550,550,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_baby_cry,raw\sound\zmb\level\zm_transit\amb\baby\amb_baby_cry_03.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,83,83,75,550,550,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_bg_powerroom_loop,,,streamed,bus_fx,grp_air,snp_ambience,,50,0,55,55,0,5000,5000,allon,default,allon,default,2,8,priority,oldest,0,0,10,50,0,1,2d,quad,looping,,1,0,0,0,0,0,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_bg_reactor_loop,,,streamed,bus_fx,grp_air,snp_ambience,,50,0,55,55,0,5000,5000,allon,default,allon,default,2,8,priority,oldest,0,0,10,50,0,1,2d,quad,looping,,1,0,0,0,0,0,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
amb_bg_tunnel_loop,raw\sound\zmb\level\zm_transit\amb\tunnel_2d_new.SL55.pc.snd.flac,,streamed,bus_fx,grp_air,snp_special,,50,0,80,80,0,5000,5000,allon,default,allon,default,2,8,priority,oldest,0,0,10,50,0,1,2d,quad,looping,,1,0,0,0,0,0,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
