Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
evt_zmb_robot_hat,raw\sound\zmb\robot\robot_hat.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,87,87,125,250,300,allon,default,allon,default,8,8,priority,oldest,-200,300,95,100,0.25,1,3d,default,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
evt_zmb_robot_jerk,raw\sound\zmb\robot\robot_jerk.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,87,87,125,250,300,allon,default,allon,default,8,8,priority,oldest,-200,300,95,100,0.25,1,3d,default,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
evt_zmb_robot_spin,raw\sound\zmb\robot\robot_spin.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,87,87,125,250,300,allon,default,allon,default,8,8,priority,oldest,-200,300,95,100,0.25,1,3d,default,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
fly_mp7_mag_out,raw\sound\wpn\smg\mp7\foley\fly_mp7_mag_out.SN65.pc.snd.flac,,streamed,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_rgunmk2_magin,raw\sound\wpn\energy\raygun_mk2\reload\putin.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,89,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,100,100,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_rgunmk2_magout,raw\sound\wpn\energy\raygun_mk2\reload\pullout.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,89,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,100,100,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_rgunmk2_raise,raw\sound\wpn\energy\raygun_mk2\reload\raise.SN65.pc.snd.flac,,streamed,bus_fx,grp_foley,snp_foley,,30,0,89,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,100,100,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_rgunmk2_switch,raw\sound\wpn\energy\raygun_mk2\reload\switch.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,89,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,100,100,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
mus_zmb_secret_song,raw\sound\mus\zmb\carrion.SN65.pc.snd.flac,,streamed,bus_music,grp_music,snp_x2,@5db9a18f,0,0,94,94,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,100,100,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,no,yes,no,1,1,yes,yes,,0,,no,no,no
mus_zombie_game_over,raw\sound\mus\zmb\dempsey_was_here.SN65.pc.snd.flac,,streamed,bus_music,grp_music,snp_music,,0,0,96,96,0,5000,5000,allon,default,allon,default,1,8,reject,oldest,0,0,100,100,0,1,2d,quad,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,no,yes,no,0,0,yes,no,,0,,no,no,no
vox_exert_generic_exhale,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_sinper_exhale_000.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_000.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_001.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_002.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_003.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_004.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_005.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_006.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_grunt,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_007.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_inhale,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_sinper_hold_000.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_knifeswipe,raw\sound\wpn\melee\knife\knife_new\exert\exert_plr_00.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,86,86,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_knifeswipe,raw\sound\wpn\melee\knife\knife_new\exert\exert_plr_01.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,86,86,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_knifeswipe,raw\sound\wpn\melee\knife\knife_new\exert\exert_plr_02.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,86,86,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_mantle,,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_000.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_001.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_002.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_003.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_004.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_005.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_006.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_exert_generic_pain,raw\sound\vox\exerts\generic_nonlocalized\vox_st0_pain_small_007.SN55.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,89,89,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
wpn_rgunmk2_exp,raw\sound\wpn\energy\raygun_mk2\imp\imp_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,250,1500,1750,allon,default,rcurve1,default,10,3,priority,oldest,-100,400,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,yes,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_exp,raw\sound\wpn\energy\raygun_mk2\imp\imp_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,250,1500,1750,allon,default,rcurve1,default,10,3,priority,oldest,-100,400,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,yes,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_exp,raw\sound\wpn\energy\raygun_mk2\imp\imp_02.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,250,1500,1750,allon,default,rcurve1,default,10,3,priority,oldest,-100,400,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,yes,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_fire_lfe,raw\sound\wpn\shotgun\srm1216\lfe\wpn_srm1216_lfe.LN65.pc.snd,wpn_rgunmk2_flux_l_plr,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_1p,,0,0,85,85,0,5000,5000,allon,default,allon,default,8,2,priority,oldest,0,0,85,90,0.25,1,2d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_fire_npc,raw\sound\wpn\energy\raygun_mk2\shot\shot_00.LN65.pc.snd.wav,wpn_rgunmk2_fire_act_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,125,2000,4000,allon,default,rcurve1,default,1,3,oldest,oldest,-34,34,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_fire_npc,raw\sound\wpn\energy\raygun_mk2\shot\shot_01.LN65.pc.snd.wav,wpn_rgunmk2_fire_act_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,125,2000,4000,allon,default,rcurve1,default,1,3,oldest,oldest,-34,34,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_rgunmk2_fire_npc,raw\sound\wpn\energy\raygun_mk2\shot\shot_02.LN65.pc.snd.wav,wpn_rgunmk2_fire_act_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,85,85,125,2000,4000,allon,default,rcurve1,default,1,3,oldest,oldest,-34,34,70,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
