# Sound aliases used by the vanilla TranZit + core zombie scripts (playsound / playloopsound / playsoundtoplayer / playlocalsound / playsoundatposition / play_sound_at_pos etc.). alias -> example file:line. Aliases not in this list may still exist but are unverified.
amb_sparks_l_b	Core/maps/mp/zombies/_zm_traps.gsc:294
aml_dog_neckbreak	Core/maps/mp/animscripts/zm_dog_combat.gsc:399
bar_rebuild_slam	Core/maps/mp/zombies/_zm_blockers.gsc:1996
barrel_fuse	Core/maps/mp/_interactive_objects.gsc:151
break_barrier_piece	Core/maps/mp/zombies/_zm_blockers.gsc:1843
break_metal_bar	Core/maps/mp/zombies/_zm_blockers.gsc:1820
chr_crunch	Core/maps/mp/gametypes_zm/_globallogic_vehicle.gsc:292
close_chest	Core/maps/mp/zombies/_zm_magicbox.gsc:615
debris_move	Core/maps/mp/zombies/_zm_blockers.gsc:1022
deny	Core/maps/mp/zombies/_zm_perks.gsc:600
door_deny	Core/maps/mp/zombies/_zm.gsc:3303
door_slide_open	Core/maps/mp/zombies/_zm_blockers.gsc:328
drop_metal_bar	Core/maps/mp/zombies/_zm_blockers.gsc:1858
dst_disable_spark	Core/maps/mp/gametypes_zm/_weaponobjects.gsc:667
dst_tac_insert_break	Core/maps/mp/gametypes_zm/_weaponobjects.gsc:1981
evt_appear_3d	Core/maps/mp/zombies/_zm_turned.gsc:112
evt_bridge_collapse_end	Maps/Tranzit/maps/mp/zm_transit_classic.gsc:331
evt_bridge_collapse_start	Maps/Tranzit/maps/mp/zm_transit_classic.gsc:304
evt_carpenter	Core/maps/mp/zombies/_zm_powerups.gsc:1213
evt_carpenter_end	Core/maps/mp/zombies/_zm_powerups.gsc:1222
evt_disappear_3d	Core/maps/mp/zombies/_zm_turned.gsc:68
evt_electrical_surge	Core/maps/mp/zombies/_zm_audio.gsc:972
evt_fridge_locker_close	Maps/Tranzit/maps/mp/zombies/_zm_weapon_locker.gsc:177
evt_fridge_locker_open	Maps/Tranzit/maps/mp/zombies/_zm_weapon_locker.gsc:242
evt_gas_cough	Maps/Tranzit/maps/mp/zm_transit_bus.gsc:1540
evt_gasmask_loop	Core/clientscripts/mp/zombies/_zm_equip_gasmask.csc:112
evt_hacker_hacking	Core/maps/mp/gametypes_zm/_weaponobjects.gsc:1256
